model,iteration,average_prob
Model1,120000,1.32993e-100
Model1,140000,1.30169e-100
Model1,160000,1.33681e-100
Model1,180000,1.35348e-100
Model1,200000,1.33792e-100
Model1,220000,1.33291e-100
Model1,240000,1.34113e-100
Model1,260000,1.35605e-100
Model1,280000,1.33885e-100
Model1,300000,1.33111e-100
Model1,320000,1.31941e-100
Model1,340000,1.31222e-100
Model1,360000,1.31006e-100
Model1,380000,1.30882e-100
Model1,400000,1.29653e-100
Model1,420000,1.29661e-100
Model1,440000,1.29624e-100
Model1,460000,1.29839e-100
Model1,480000,1.29881e-100
Model1,500000,1.30628e-100
Model1,520000,1.29753e-100
Model1,540000,1.29798e-100
Model1,560000,1.30141e-100
Model1,580000,1.29892e-100
Model1,600000,1.29249e-100
Model1,620000,1.29855e-100
Model1,640000,1.30182e-100
Model1,660000,1.30348e-100
Model1,680000,1.30646e-100
Model1,700000,1.31039e-100
Model1,720000,1.30687e-100
Model1,740000,1.30964e-100
Model1,760000,1.30604e-100
Model1,780000,1.30067e-100
Model1,800000,1.30525e-100
Model1,820000,1.30031e-100
Model1,840000,1.30263e-100
Model1,860000,1.30151e-100
Model1,880000,1.30446e-100
Model1,900000,1.30671e-100
Model1,920000,1.30308e-100
Model1,940000,1.30566e-100
Model1,960000,1.30571e-100
Model1,980000,1.31098e-100
Model1,1000000,1.31252e-100
Model1,1020000,1.30999e-100
Model1,1040000,1.31119e-100
Model1,1060000,1.3099e-100
Model1,1080000,1.30874e-100
Model1,1100000,1.31062e-100
Model1,1120000,1.31108e-100
Model1,1140000,1.30792e-100
Model1,1160000,1.30469e-100
Model1,1180000,1.30071e-100
Model1,1200000,1.29683e-100
Model1,1220000,1.29805e-100
Model1,1240000,1.29911e-100
Model1,1260000,1.29686e-100
Model1,1280000,1.29822e-100
Model1,1300000,1.30173e-100
Model1,1320000,1.29989e-100
Model1,1340000,1.30061e-100
Model1,1360000,1.29906e-100
Model1,1380000,1.30022e-100
Model1,1400000,1.30306e-100
Model1,1420000,1.30222e-100
Model1,1440000,1.29914e-100
Model1,1460000,1.29969e-100
Model1,1480000,1.3037e-100
Model1,1500000,1.30145e-100
Model1,1520000,1.29782e-100
Model1,1540000,1.2943e-100
Model1,1560000,1.29736e-100
Model1,1580000,1.29471e-100
Model1,1600000,1.29998e-100
Model1,1620000,1.30482e-100
Model1,1640000,1.30481e-100
Model1,1660000,1.30251e-100
Model1,1680000,1.30088e-100
Model1,1700000,1.29854e-100
Model1,1720000,1.29741e-100
Model1,1740000,1.29827e-100
Model1,1760000,1.2948e-100
Model1,1780000,1.29669e-100
Model1,1800000,1.30007e-100
Model1,1820000,1.29866e-100
Model1,1840000,1.30032e-100
Model1,1860000,1.29818e-100
Model1,1880000,1.2986e-100
Model1,1900000,1.29801e-100
Model1,1920000,1.29769e-100
Model1,1940000,1.29813e-100
Model1,1960000,1.29781e-100
Model1,1980000,1.29765e-100
Model1,2000000,1.29784e-100
Model2,20000,3.84691e-101
Model2,40000,3.8113e-101
Model2,60000,3.56794e-101
Model2,80000,3.40202e-101
Model2,100000,3.73975e-101
Model2,120000,3.83206e-101
Model2,140000,3.84594e-101
Model2,160000,3.86843e-101
Model2,180000,3.85495e-101
Model2,200000,3.87297e-101
Model2,220000,3.84034e-101
Model2,240000,3.80415e-101
Model2,260000,3.85877e-101
Model2,280000,3.80525e-101
Model2,300000,3.86615e-101
Model2,320000,3.88852e-101
Model2,340000,3.92274e-101
Model2,360000,3.95513e-101
Model2,380000,4.00109e-101
Model2,400000,3.96799e-101
Model2,420000,4.00442e-101
Model2,440000,3.99235e-101
Model2,460000,4.01586e-101
Model2,480000,4.02403e-101
Model2,500000,4.0551e-101
Model2,520000,4.06317e-101
Model2,540000,4.12336e-101
Model2,560000,4.12603e-101
Model2,580000,4.1465e-101
Model2,600000,4.14528e-101
Model2,620000,4.14654e-101
Model2,640000,4.11481e-101
Model2,660000,4.13066e-101
Model2,680000,4.11471e-101
Model2,700000,4.11585e-101
Model2,720000,4.11238e-101
Model2,740000,4.08177e-101
Model2,760000,4.09265e-101
Model2,780000,4.11323e-101
Model2,800000,4.1048e-101
Model2,820000,4.07448e-101
Model2,840000,4.05919e-101
Model2,860000,4.02984e-101
Model2,880000,4.05081e-101
Model2,900000,4.04223e-101
Model2,920000,4.02675e-101
Model2,940000,4.05174e-101
Model2,960000,4.05679e-101
Model2,980000,4.059e-101
Model2,1000000,4.03968e-101
Model2,1020000,4.06056e-101
Model2,1040000,4.05406e-101
Model2,1060000,4.0342e-101
Model2,1080000,4.03298e-101
Model2,1100000,4.02436e-101
Model2,1120000,3.99574e-101
Model2,1140000,4.00581e-101
Model2,1160000,4.00873e-101
Model2,1180000,3.99676e-101
Model2,1200000,3.9884e-101
Model2,1220000,3.9994e-101
Model2,1240000,3.98813e-101
Model2,1260000,3.991e-101
Model2,1280000,4.005e-101
Model2,1300000,4.01535e-101
Model2,1320000,4.01797e-101
Model2,1340000,4.0309e-101
Model2,1360000,4.02454e-101
Model2,1380000,4.02233e-101
Model2,1400000,4.04147e-101
Model2,1420000,4.03094e-101
Model2,1440000,4.02415e-101
Model2,1460000,4.02653e-101
Model2,1480000,4.03105e-101
Model2,1500000,4.02368e-101
Model2,1520000,4.03313e-101
Model2,1540000,4.02302e-101
Model2,1560000,4.02189e-101
Model2,1580000,4.03211e-101
Model2,1600000,4.03491e-101
Model2,1620000,4.04455e-101
Model2,1640000,4.05725e-101
Model2,1660000,4.06277e-101
Model2,1680000,4.06837e-101
Model2,1700000,4.06122e-101
Model2,1720000,4.08535e-101
Model2,1740000,4.08224e-101
Model2,1760000,4.07374e-101
Model2,1780000,4.07382e-101
Model2,1800000,4.07712e-101
Model2,1820000,4.08095e-101
Model2,1840000,4.07515e-101
Model2,1860000,4.08475e-101
Model2,1880000,4.08689e-101
Model2,1900000,4.10405e-101
Model2,1920000,4.10982e-101
Model2,1940000,4.10478e-101
Model2,1960000,4.10437e-101
Model2,1980000,4.09868e-101
Model2,2000000,4.10606e-101
Model1,20000,5.32124e-21
Model1,40000,5.16416e-21
Model1,60000,4.78975e-21
Model1,80000,4.5452e-21
Model1,100000,4.85805e-21
Model1,120000,5.13583e-21
Model1,140000,5.0964e-21
Model1,160000,5.39411e-21
Model1,180000,5.39241e-21
Model1,200000,5.45414e-21
Model1,220000,5.41309e-21
Model1,240000,5.52348e-21
Model1,260000,5.50347e-21
Model1,280000,5.58266e-21
Model1,300000,5.51044e-21
Model1,320000,5.50862e-21
Model1,340000,5.56637e-21
